"PSRC_trips","App_data_estimated_trips","TAZ"
3465,1611.06,341
1437,1167.31,342
6003,1981.81,343
3080,1005.95,344
3643,1352.72,345
2249,785.7,346
1615,567.04,347
2609,1334.46,348
4835,1956.32,349
4655,2178.36,350
2505,2851.75,351
4464,1608.59,352
1447,406.09,353
3327,1091.12,354
6487,1036.56,355
5340,759.92,356
1506,558.15,357
3559,1208.49,358
1191,809.37,359
3305,1163.21,360
2658,853.8,361
4530,1444.65,362
4775,2574.67,363
1166,1176.94,364
2413,981.57,365
472,251.15,366
969,589.41,367
924,1213.46,368
1839,827.23,369
1317,862.17,370
85,651.27,371
2351,1511.88,372
7652,3135.68,373
1072,369.18,374
282,166.3,375
1487,528.45,376
792,361.76,377
1424,486.88,378
885,642.15,379
764,737.09,380
1466,628.97,381
4643,2001.86,382
4972,2017.02,383
4662,1676.63,384
4280,1225.82,385
6083,2676.58,386
9589,3761.19,387
4871,1734.98,388
2447,1354.05,389
1509,1830.95,390
6730,1153.4,391
6905,1239.18,392
3083,673.01,393
1402,1128.81,394
2544,1624.3,395
2255,938.23,396
3598,1720.98,397
10871,3660.87,398
2067,600.13,399
7304,2962.28,400
3054,1136.17,401
6966,3444.52,402
10811,5403.35,403
2777,1894.11,404
2422,2261.93,405
6982,4122.78,406
4470,1293.87,407
2739,747.18,408
1660,735.87,409
3845,1339.76,410
3316,1397.61,411
1678,650.76,412
1097,588.06,413
1487,532.62,414
5061,691.54,415
6554,1094.06,416
1426,815.35,417
2394,954.14,418
2372,1042.76,419
1337,521.74,420
1739,622.88,421
1692,927.76,422
2686,1001.19,423
5350,2198.94,424
7058,2526.56,425
5610,2730.75,426
8137,3722.59,427
7379,1885.43,428
5775,4186.83,429
7958,4152.23,430
8634,4695.54,431
30857,5582.21,432
5933,5859.2,433
3736,4100.18,434
5701,3866.8,435
2355,1115.63,436
3924,2579.07,437
4686,5764.56,438
1108,1080.49,439
2279,1874.15,440
3397,2010.69,441
6735,4063.62,442
6318,2619.73,443
3113,2031.64,444
508,222.86,445
2921,1152.67,446
2274,915.43,447
2348,1273.71,448
2831,760.18,449
541,554.81,450
2835,820.44,451
2491,808.07,452
2598,778.8,453
2012,573.96,454
2429,1147.05,455
1207,1023.7,456
2371,591.8,457
1860,946.88,458
1606,974.78,459
2265,1282.54,460
2040,978.51,461
3100,1734,462
2156,1160.35,463
2901,1541.76,464
1073,698.86,465
129,644.83,466
1615,717.8,467
2513,937.31,468
1818,1033.67,469
2521,1053.79,470
4224,1672.31,471
1661,852.69,472
2857,2001.97,473
907,1947.21,474
638,1366.69,475
2742,1503.32,476
3877,1714.6,477
3144,6191.87,478
3137,1279.91,479
4977,1269.36,480
3800,1503.24,481
2798,1158.24,482
2575,1699.35,483
2318,1464.81,484
3430,1976.25,485
2693,2613.48,486
1451,2783.71,487
5847,1961.97,488
519,1169.59,489
459,626.22,490
1087,784.94,491
745,1720.65,492
7766,2010.87,493
650,1036.62,494
2193,2489.7,495
1003,1362.8,496
2779,1888.35,497
2769,1287.37,498
4554,1837.45,499
4655,2435.67,500
5535,3921.22,501
5856,3660.79,502
11579,3685.55,503
5470,1987.14,504
6784,1818.64,505
2070,1403.84,506
1738,2331.4,507
691,526.59,508
3800,1707.08,509
7495,2366.36,510
2178,2808.22,511
9639,2793.45,512
6874,2262.74,513
9024,3213.09,514
12591,2358.98,515
3339,1965.35,516
0,441.52,517
963,649.8,518
1956,801.47,519
2842,1727.23,520
5418,2632.32,521
3896,2035.58,522
689,1210.22,523
727,1458.22,524
1313,719.72,525
1484,834.97,526
1522,829.95,527
3691,1590.59,528
6702,1953.34,529
5649,2984.37,530
3022,1777.55,531
1088,1292.38,532
1081,1127.21,533
2421,974.72,534
4297,1928.76,535
2877,1330.88,536
2040,1923.68,537
3946,3291.16,538
6559,2872.73,539
1806,1022.11,540
2138,1333.26,541
1819,2718.14,542
1104,1921.26,543
2756,1079.55,544
2088,857.45,545
485,446.55,546
1722,1097.32,547
2131,1047.24,548
1801,982.08,549
6939,1694.41,550
2429,1718.6,551
5873,1754.99,552
3555,3201.91,553
4582,2724.41,554
3752,1883.51,555
7001,2092.96,556
3159,1239.6,557
3132,1021.46,558
1447,440.12,559
1687,516.16,560
2031,814.91,561
1939,1243.53,562
3831,2022.48,563
3938,1335.79,564
4568,1629.03,565
11275,4333.82,566
4137,2388.88,567
5224,1492.18,568
4037,1809.82,569
1354,902.41,570
5179,2521.43,571
2439,2059.6,572
8103,1566.2,573
4201,1522.65,574
2399,1139.8,575
2428,1376.93,576
3143,1834.84,577
3172,2146.3,578
2666,913.98,579
1568,866.64,580
4310,2184.28,581
1017,783.69,582
3132,1976.26,583
11680,3948.14,584
6131,3352.88,585
4704,1238.84,586
2608,924.5,587
3535,1666.15,588
3303,1344.77,589
2056,745.71,590
277,208.73,591
787,323.03,592
1847,822.67,593
2381,997.72,594
1148,484.25,595
1206,794.96,596
1368,781.29,597
2594,1033.16,598
5297,920.58,599
9053,2357.36,600
10510,645.29,601
3313,1859.66,602
5422,554.36,603
2887,1994.3,604
4733,1354.09,605
1552,1003.89,606
1833,2155,607
2098,573.15,608
7762,2120.71,609
3083,2116.55,610
7321,3625.53,611
3314,2484.94,612
2888,2845.24,613
2408,1187.97,614
3290,1227.39,615
3653,836.33,616
8819,1236.41,617
6770,1916.83,618
3443,1226.12,619
1069,351.92,620
1997,831.45,621
1415,564.23,622
1959,1064.17,623
3870,1158.28,624
13961,933.04,625
10534,1991.2,626
1701,915.25,627
6312,3099.6,628
4618,3028.99,629
3526,4448.88,630
8602,9075.35,631
2234,1239.02,632
261,1272.38,633
729,694.03,634
807,1220.88,635
2747,1051.05,636
4512,1375.57,637
2931,656.53,638
2583,590.37,639
1160,736.76,640
1872,791.6,641
1649,492.94,642
1637,470.56,643
1402,372.32,644
3274,956.37,645
1253,941.88,646
3861,1813.26,647
2574,1285,648
8076,3059.69,649
4676,4132.35,650
1539,3106.6,651
1235,2476.27,652
1926,2225.77,653
284,1635.85,654
6825,5069.54,655
8810,3817.79,656
5448,5179.55,657
3471,1780.69,658
1689,1849.46,659
2094,2049.73,660
1680,514.39,661
1774,709.27,662
1702,574.95,663
2959,790.14,664
3479,2118.43,665
3013,1335.49,666
3679,1536.9,667
3451,1683.09,668
3384,1402.4,669
4182,4140.12,670
4370,3398.48,671
1892,842.52,672
14,506.21,673
3091,5468.2,674
742,999.4,675
2728,2037.35,676
2645,973.03,677
1077,752.63,678
3544,1992.9,679
4121,1680.12,680
2496,814.5,681
4585,2060.93,682
3434,2507.75,683
1433,816.6,684
1211,614.86,685
1297,761.07,686
1889,554.56,687
2441,1077.14,688
3612,1245.96,689
2193,791.58,690
4448,3311.75,691
2204,854.31,692
1472,945.83,693
1849,943.92,694
2772,912.98,695
2926,1291.79,696
3030,1115.01,697
2402,843.28,698
2385,1356.06,699
4859,2367.39,700
1563,861.71,701
800,875.43,702
522,589.61,703
1604,1900.09,704
872,809.14,705
1192,983.54,706
3509,2102.77,707
4169,2133.76,708
6020,3874.24,709
281,317.59,710
7664,1884.42,711
8596,2353.9,712
12949,1958.47,713
7660,4465.87,714
4851,1990.43,715
1876,665.09,716
698,430.01,717
3345,1439.12,718
3651,1195.49,719
9795,3287.19,720
11197,4695.95,721
8310,2878,722
4032,1379.87,723
2064,1122.91,724
4069,2532.15,725
2689,3895.13,726
2086,1058.71,727
2154,1817.3,728
3875,1066.72,729
4646,1233.87,730
1469,1306,731
4484,2114.72,732
3239,972.73,733
2137,619.37,734
6713,3495.16,735
6165,3054.48,736
2672,1112.04,737
8314,3199.25,738
2299,960.57,739
2524,1016.81,740
1314,556.87,741
820,309.46,742
791,351.71,743
3329,1556.89,744
2784,889.56,745
2335,852.84,746
3573,1540.49,747
1806,1131.4,748
3793,1168.23,749
1563,519.89,750
11659,3195.69,751
4335,1231.62,752
3265,789.96,753
3497,809.87,754
4102,1028.86,755
6455,1831.72,756
701,1571.27,757
1579,1762.25,758
1941,696.54,759
5024,2536.02,760
7893,5235.54,761
3350,2035.92,762
1227,616.45,763
1529,802.13,764
2792,869.07,765
4300,1692.53,766
6460,2488.12,767
3881,1700.78,768
1085,1165.49,769
1064,794.94,770
5639,1886.2,771
5033,1408.15,772
4078,2551.26,773
7890,3599.15,774
5101,2343.36,775
2275,487.67,776
648,882.04,777
2269,1293.82,778
2727,1847.58,779
709,1268.56,780
1625,661.33,781
3344,1908.14,782
3116,1064.16,783
1687,626.29,784
1867,901.32,785
1777,819.31,786
1527,1034.44,787
3045,1935.3,788
2099,660.84,789
995,295.52,790
2818,596.86,791
3784,877.2,792
7013,687.43,793
5582,720.4,794
6262,1493.72,795
6029,1379.21,796
7293,4380.83,797
2332,1052.29,798
2386,633.67,799
2897,1218.18,800
2886,927.02,801
963,612.19,802
3233,2530.7,803
2720,1062.84,804
1285,957.05,805
3246,2176.48,806
2289,1049.67,807
105,1556.74,808
3330,3551.24,809
2053,405.27,810
2363,852.36,811
3196,1368.71,812
5764,1928.47,813
3053,1199.95,814
2967,868.5,815
2524,1099.98,816
1860,901.19,817
2106,583.07,818
2159,781.27,819
2427,1025.49,820
3346,1122.42,821
1455,731.41,822
2341,1018.22,823
1753,1260.57,824
3382,1681.06,825
1224,401.36,826
3682,1419.47,827
1723,445.5,828
4186,2135.81,829
2769,896.97,830
2581,1695.06,831
3937,1627.36,832
1896,549.83,833
1871,533.32,834
1856,744.84,835
1509,499.1,836
2046,632.05,837
2148,651.11,838
1157,505.24,839
1511,597.53,840
1107,356.77,841
388,854.03,842
1981,1320.02,843
1062,595.65,844
1345,680.43,845
1994,1207.66,846
755,684.31,847
4553,2914.77,848
2730,1047.83,849
3780,1246.98,850
1114,580.71,851
2149,603.36,852
3395,1307.8,853
964,443.95,854
1870,595.53,855
1790,559.15,856
2940,602.35,857
1191,496.59,858
3242,1499.82,859
1509,561.07,860
2731,1637.63,861
2339,1040.8,862
4574,2645.88,863
4375,1998.38,864
3481,1544.17,865
2054,838.62,866
680,261.76,867
1589,666.45,868
1852,459.13,869
959,648.98,870
2802,1520.4,871
1776,1053.01,872
7277,4231.56,873
585,1433.3,874
1947,722.87,875
2169,959.53,876
717,623.42,877
3215,1762.09,878
1388,784.08,879
2680,1378.5,880
1663,778.14,881
1511,989.4,882
2095,930.23,883
1971,503.08,884
821,322.46,885
8346,1008.78,886
5149,1352.82,887
5417,1036.13,888
5044,1777.3,889
1831,1107.88,890
3022,1378.31,891
3529,1174.53,892
2350,1137.26,893
4123,1241.84,894
2986,1067.44,895
5552,1643.77,896
3608,1230.37,897
3203,1272.67,898
4130,1168.66,899
917,410.13,900
3445,872.04,901
2419,521.15,902
2709,751.79,903
1810,913.69,904
2219,806.51,905
2160,1392.38,906
2982,774.8,907
3015,2702.17,908
2240,855.38,909
3224,872.32,910
4936,2590.89,911
3778,1679.09,912
2146,563.22,913
3642,1386.76,914
3767,2185.17,915
2600,795.58,916
714,402.66,917
1406,882.79,918
639,753.05,919
501,818.87,920
3454,1930.29,921
4650,4182.5,922
1897,911.19,923
2112,763.27,924
4524,2333.46,925
1632,697.08,926
1980,476.28,927
3436,1773.84,928
1587,583.41,929
2267,950.29,930
5028,667.08,931
651,242.81,932
8861,1423.1,933
2772,1210.39,934
1543,660.03,935
3211,1174.46,936
1858,1005.93,937
3518,1293.76,938
4118,1767.74,939
1949,640.39,940
7106,2340.38,941
1739,651.55,942
3127,2251.97,943
4840,4088.94,944
4524,3656.87,945
1978,1004.48,946
3804,748.44,947
1294,1152,948
3141,1660.64,949
4093,2476.41,950
4615,3036.23,951
7493,4553.1,952
5241,2482.29,953
9760,5131.56,954
6749,2772.1,955
1370,784.21,956
5499,3031.38,957
4344,1386.24,958
1305,998.41,959
4637,1822.03,960
4665,2357.59,961
5350,4992.69,962
3700,3618.55,963
2500,1508.04,964
1736,1561.01,965
5348,4688.75,966
7429,3149.29,967
5796,3969.21,968
2961,3051.97,969
5605,3081.34,970
6909,4507.57,971
11693,9476.61,972
14848,9835.63,973
20520,13208.54,974
1003,486.94,975
3937,1980.25,976
1336,408.95,977
